,Gene Name,Gene Symbol,Chromosome,Gene Start,Gene End,Strand,Gene Length,Chromosome Length,Gene Location,Gene Sites,Transcript Sites,Gene Regulation,Transcript Regulation,Regulation Ratio,Gene Regulation Group,Isoform Count,Transcript Abundance
14,ENSG00000229876,CASC20,20,6446723,6528459,1,81736,64444167,0.10066994891872837,1,1,1.2234511108936087e-05,1.2234511108936087e-05,1.0,Neutral,1,0.0
15,ENSG00000225479,PLCB1-IT1,20,8248704,8256918,1,8214,64444167,0.12806141167128438,3,6,0.0003652300949598247,0.0007304601899196494,2.0,Predominantly Post-Transcriptional,2,1.5
16,ENSG00000171873,ADRA1D,20,4220630,4249287,-1,28657,64444167,0.06571515619093966,7,1,0.0002442684160937991,3.489548801339987e-05,0.14285714285714285,Predominantly Transcriptional,2,0.5
17,ENSG00000101282,RSPO4,20,958452,1002311,-1,43859,64444167,0.015212881873389721,4,1,9.120134977997675e-05,2.2800337444994187e-05,0.25,Predominantly Transcriptional,2,20.5
18,ENSG00000263627,PPP4R1-AS1,18,9615264,9619363,1,4099,80373285,0.1196580866391115,1,3,0.00024396194193705782,0.0007318858258111735,3.0,Predominantly Post-Transcriptional,1,2.0
19,ENSG00000128789,PSMG2,18,12658043,12725740,1,67697,80373285,0.15791181734079926,8,20,0.00011817362660088334,0.0002954340665022084,2.5,Predominantly Post-Transcriptional,10,1954.0
20,ENSG00000171984,SHLD1,20,5750393,5864395,1,114002,64444167,0.09011512244389783,13,12,0.00011403308713882213,0.00010526131120506658,0.9230769230769231,Predominantly Transcriptional,4,40.0
21,ENSG00000125827,TMX4,20,7977346,8019805,-1,42459,64444167,0.1241163610664717,5,2,0.0001177606632280553,4.710426529122212e-05,0.4,Predominantly Transcriptional,4,671.0
22,ENSG00000149346,SLX4IP,20,10435305,10636829,1,201524,64444167,0.16349139868624574,34,56,0.00016871439630019254,0.00027788253508267003,1.6470588235294117,Predominantly Post-Transcriptional,2,412.5
23,ENSG00000185231,MC2R,18,13882044,13915707,-1,33663,80373285,0.17292904601323686,3,1,8.911861687906604e-05,2.9706205626355346e-05,0.3333333333333333,Predominantly Transcriptional,2,1.0
24,ENSG00000227927,MACROD2-IT1,20,14554384,14636524,1,82140,64444167,0.22648215780335867,4,6,4.8697345994643294e-05,7.304601899196493e-05,1.5,Predominantly Post-Transcriptional,2,0.5
25,ENSG00000088812,ATRN,20,3471018,3651118,1,180100,64444167,0.05525818962017152,16,76,8.883953359244864e-05,0.000421987784564131,4.75,Predominantly Post-Transcriptional,2,823.5
26,ENSG00000197705,KLHL14,18,32672673,32773023,-1,100350,80373285,0.40713587854471794,19,3,0.00018933731938216243,2.9895366218236174e-05,0.15789473684210525,Predominantly Transcriptional,3,7.0
27,ENSG00000154646,TMPRSS15,21,18269116,18485879,-1,216763,46709983,0.39343832559305364,1,3,4.613333456355559e-06,1.3840000369066676e-05,3.0,Predominantly Post-Transcriptional,3,3.5
28,ENSG00000267337,LINC01478,18,44280768,44579953,-1,299185,80373285,0.5528001064035145,6,1,2.005448134097632e-05,3.3424135568293863e-06,0.16666666666666666,Predominantly Transcriptional,2,0.0
29,ENSG00000263862,LINC01543,18,26421139,26438041,1,16902,80373285,0.3288355079676039,2,1,0.00011832919181161993,5.9164595905809965e-05,0.5,Predominantly Transcriptional,1,0.0
30,ENSG00000266969,CEP192-DT,18,12984694,12991173,-1,6479,80373285,0.1615951556540211,2,10,0.0003086896125945362,0.0015434480629726809,5.0,Predominantly Post-Transcriptional,1,1.0
31,ENSG00000125845,BMP2,20,6767686,6780246,1,12560,64444167,0.10511371804992065,1,26,7.961783439490445e-05,0.002070063694267516,26.0,Predominantly Post-Transcriptional,1,159.0
32,ENSG00000260372,AQP4-AS1,18,26655737,27190698,1,534961,80373285,0.3349771942256684,39,10,7.29025106503091e-05,1.8692951448797203e-05,0.2564102564102564,Predominantly Transcriptional,4,0.5
33,ENSG00000154639,CXADR,21,17513043,17593579,1,80536,46709983,0.3757935643008048,24,32,0.0002980033773716102,0.0003973378364954803,1.3333333333333333,Predominantly Post-Transcriptional,5,467.0
34,ENSG00000125898,FAM110A,20,833715,857463,1,23748,64444167,0.013121265109998241,3,9,0.00012632642748863063,0.00037897928246589187,3.0,Predominantly Post-Transcriptional,6,127.0
35,ENSG00000178127,NDUFV2,18,9102630,9134345,1,31715,80373285,0.1134517209294108,3,19,9.459246413369069e-05,0.000599085606180041,6.333333333333333,Predominantly Post-Transcriptional,9,33.0
36,ENSG00000278719,MCM8-AS1,20,5990943,6005821,-1,14878,64444167,0.09307874209934314,3,20,0.00020164000537706682,0.0013442667025137787,6.666666666666667,Predominantly Post-Transcriptional,1,3.0
37,ENSG00000173404,INSM1,20,20368104,20370949,1,2845,64444167,0.31608022026260346,3,8,0.001054481546572935,0.00281195079086116,2.6666666666666665,Predominantly Post-Transcriptional,1,0.0
38,ENSG00000275993,SIK1B,21,6111131,6123778,1,12647,46709983,0.13096674644475892,4,2,0.00031628054083972484,0.00015814027041986242,0.5,Predominantly Transcriptional,2,434.0
39,ENSG00000088826,SMOX,20,4120980,4187747,1,66767,64444167,0.0644645387378504,9,15,0.0001347971303188701,0.0002246618838647835,1.6666666666666667,Predominantly Post-Transcriptional,12,176.0
40,ENSG00000154889,MPPE1,18,11882622,11908366,-1,25744,80373285,0.1480030833628363,4,5,0.00015537600994406463,0.0001942200124300808,1.25,Predominantly Post-Transcriptional,30,106.5
41,ENSG00000156253,RWDD2B,21,29004384,29019360,-1,14976,46709983,0.6211064559796564,2,1,0.00013354700854700856,6.677350427350428e-05,0.5,Predominantly Transcriptional,7,468.5
42,ENSG00000156265,MAP3K7CL,21,29077471,29175889,1,98418,46709983,0.6235643459771758,22,3,0.00022353634497754475,3.0482228860574284e-05,0.13636363636363635,Predominantly Transcriptional,16,306.5
43,ENSG00000149443,SCP2D1-AS1,20,18809728,18830153,-1,20425,64444167,0.29203481674299553,1,1,4.895960832313341e-05,4.895960832313341e-05,1.0,Neutral,3,0.5
44,ENSG00000132640,BTBD3,20,11890723,11926609,1,35886,64444167,0.18479044038229248,10,40,0.0002786602017499861,0.0011146408069999444,4.0,Predominantly Post-Transcriptional,15,696.0
45,ENSG00000125816,NKX2-4,20,21395365,21397526,-1,2161,64444167,0.33201523886560597,2,2,0.0009254974548819991,0.0009254974548819991,1.0,Neutral,1,0.0
46,ENSG00000089063,TMEM230,20,5068232,5113103,-1,44871,64444167,0.07899345645975997,13,1,0.0002897194178868311,2.228610906821778e-05,0.07692307692307693,Predominantly Transcriptional,11,884.5
47,ENSG00000232079,LINC01697,21,28048404,28137611,1,89207,46709983,0.6014347618152633,8,1,8.96790610602307e-05,1.1209882632528838e-05,0.125,Predominantly Transcriptional,6,12.5
48,ENSG00000232118,BACH1-AS1,21,29370019,29376339,-1,6320,46709983,0.628841569049597,2,4,0.00031645569620253165,0.0006329113924050633,2.0,Predominantly Post-Transcriptional,2,7.0
49,ENSG00000125851,PCSK2,20,17226107,17484578,1,258471,64444167,0.2693081982113292,13,1,5.029577786289371e-05,3.8689059894533625e-06,0.07692307692307693,Predominantly Transcriptional,5,12.5
50,ENSG00000154721,JAM2,21,25639258,25717562,1,78304,46709983,0.5497413689917207,11,6,0.00014047813649366571,7.662443808745403e-05,0.5454545454545454,Predominantly Transcriptional,7,129.0
51,ENSG00000088876,ZNF343,20,2481817,2524702,-1,42885,64444167,0.038843849126019424,5,4,0.00011659088259298122,9.327270607438498e-05,0.8,Predominantly Transcriptional,8,178.5
52,ENSG00000263878,DLGAP1-AS4,18,3962353,4024150,1,61797,80373285,0.049683815959494504,8,1,0.00012945612246549186,1.6182015308186483e-05,0.125,Predominantly Transcriptional,1,0.0
53,ENSG00000156256,USP16,21,29024629,29054488,1,29859,46709983,0.62169918794447,7,41,0.0002344351786730969,0.001373120332228139,5.857142857142857,Predominantly Post-Transcriptional,6,1621.5
54,ENSG00000101489,CELF4,18,37243040,37565827,-1,322787,80373285,0.46538390834715787,36,8,0.00011152865511932017,2.478414558207115e-05,0.2222222222222222,Predominantly Transcriptional,23,8.0
55,ENSG00000101230,ISM1,20,13221274,13300651,1,79377,64444167,0.20577444192893363,8,7,0.00010078486211371051,8.818675434949671e-05,0.875,Predominantly Transcriptional,1,21.5
56,ENSG00000100997,ABHD12,20,25294742,25390835,-1,96093,64444167,0.3932518593963671,22,15,0.00022894487631773387,0.00015609877930754582,0.6818181818181818,Predominantly Transcriptional,9,926.5
57,ENSG00000226983,LINC01692,21,24840550,25057746,1,217196,46709983,0.5341288178160972,14,1,6.44579089854325e-05,4.604136356102322e-06,0.07142857142857142,Predominantly Transcriptional,1,0.0
58,ENSG00000234293,BACH1-IT3,21,29496047,29500386,1,4339,46709983,0.6315184593409079,2,1,0.0004609356994699239,0.00023046784973496196,0.5,Predominantly Transcriptional,1,0.0
59,ENSG00000166265,CYYR1,21,26466209,26573286,-1,107077,46709983,0.5677533108928771,12,1,0.0001120688850079849,9.339073750665409e-06,0.08333333333333333,Predominantly Transcriptional,2,90.0
60,ENSG00000125848,FLRT3,20,14322985,14337614,-1,14629,64444167,0.2223676737104849,3,2,0.00020507211702782145,0.0001367147446852143,0.6666666666666666,Predominantly Transcriptional,3,90.0
61,ENSG00000159147,DONSON,21,33559542,33588706,-1,29164,46709983,0.7187783390972332,9,53,0.00030859964339596764,0.0018173090111095872,5.888888888888889,Predominantly Post-Transcriptional,13,445.5
62,ENSG00000280350,LINC01726,20,21610787,21703585,-1,92798,64444167,0.33606122956015555,13,1,0.0001400892260609065,1.0776094312377422e-05,0.07692307692307693,Predominantly Transcriptional,1,0.0
63,ENSG00000231824,AKAIN1,18,5142911,5197503,-1,54592,80373285,0.06432743168330124,1,1,1.831770222743259e-05,1.831770222743259e-05,1.0,Neutral,2,0.5
64,ENSG00000089091,DZANK1,20,18383367,18467281,-1,83914,64444167,0.2859114308980051,8,4,9.533570083657078e-05,4.766785041828539e-05,0.5,Predominantly Transcriptional,11,36.5
65,ENSG00000132874,SLC14A2,18,45212995,45683688,1,470693,80373285,0.5654657701249862,38,7,8.07320270324819e-05,1.4871689190194033e-05,0.18421052631578946,Predominantly Transcriptional,4,3.0
66,ENSG00000017797,RALBP1,18,9475009,9538114,1,63105,80373285,0.11828011633467514,11,28,0.00017431265351398463,0.0004437049362174154,2.5454545454545454,Predominantly Post-Transcriptional,5,2656.0
67,ENSG00000243927,MRPS6,21,34073224,34143034,1,69810,46709983,0.730210691791517,10,94,0.00014324595330181923,0.0013465119610371007,9.4,Predominantly Post-Transcriptional,5,384.5
68,ENSG00000215533,LINC00189,21,29193480,29288205,1,94725,46709983,0.6260084166590255,22,2,0.00023225125362892583,2.111375032990235e-05,0.09090909090909091,Predominantly Transcriptional,3,0.0
69,ENSG00000167315,ACAA2,18,49782164,49813953,-1,31789,80373285,0.6195847102678459,4,1,0.00012582968951524112,3.145742237881028e-05,0.25,Predominantly Transcriptional,7,1228.5
70,ENSG00000159131,GART,21,33503931,33543491,-1,39560,46709983,0.7176990623182201,6,10,0.00015166835187057634,0.0002527805864509606,1.6666666666666667,Predominantly Post-Transcriptional,18,2876.5
71,ENSG00000101463,SYNDIG1,20,24469629,24666616,1,196987,64444167,0.3812311283347025,13,37,6.599420266311991e-05,0.0001878296537334951,2.8461538461538463,Predominantly Post-Transcriptional,2,33.5
72,ENSG00000141380,SS18,18,26016253,26091217,-1,74964,80373285,0.32415914068959606,3,1,4.0019209220425806e-05,1.3339736406808602e-05,0.3333333333333333,Predominantly Transcriptional,26,775.0
73,ENSG00000088930,XRN2,20,21303331,21389825,1,86494,64444167,0.33124142949974045,10,107,0.00011561495595070178,0.001237080028672509,10.7,Predominantly Post-Transcriptional,1,3483.0
74,ENSG00000125772,GPCPD1,20,5544439,5611006,-1,66567,64444167,0.08655123899731686,11,4,0.00016524704433127526,6.008983430228191e-05,0.36363636363636365,Predominantly Transcriptional,6,134.5
75,ENSG00000223750,SIRPB3P,20,1665283,1708200,-1,42917,64444167,0.026173687682238177,1,1,2.33007898967775e-05,2.33007898967775e-05,1.0,Neutral,1,0.0
76,ENSG00000233993,DTD1-AS1,20,18674395,18698709,-1,24314,64444167,0.2899649862802944,5,4,0.00020564283951632803,0.00016451427161306244,0.8,Predominantly Transcriptional,1,0.0
77,ENSG00000125870,SNRPB2,20,16729961,16742564,1,12603,64444167,0.25970174306078003,1,11,7.934618741569468e-05,0.0008728080615726414,11.0,Predominantly Post-Transcriptional,3,895.5
78,ENSG00000233048,LINC01722,20,12865202,12952519,-1,87317,64444167,0.20031076668273173,3,1,3.4357570690701696e-05,1.1452523563567233e-05,0.3333333333333333,Predominantly Transcriptional,1,0.5
79,ENSG00000101003,GINS1,20,25407673,25452628,1,44955,64444167,0.39460748247393745,4,46,8.897786675564454e-05,0.001023245467689912,11.5,Predominantly Post-Transcriptional,4,701.5
80,ENSG00000248476,BACH1-IT1,21,29351634,29361894,1,10260,46709983,0.6284901452436837,2,6,0.0001949317738791423,0.0005847953216374269,3.0,Predominantly Post-Transcriptional,1,33.5
81,ENSG00000228817,BACH1-IT2,21,29370497,29373709,1,3212,46709983,0.6288185332886976,1,3,0.00031133250311332503,0.0009339975093399751,3.0,Predominantly Post-Transcriptional,2,7.5
82,ENSG00000198743,SLC5A3,21,34073578,34106260,1,32682,46709983,0.7298208393696054,4,72,0.00012239153050608897,0.0022030475491096016,18.0,Predominantly Post-Transcriptional,1,1691.0
83,ENSG00000159259,CHAF1B,21,36385392,36419015,1,33623,46709983,0.7793238438986373,9,35,0.0002676739136900336,0.001040954108794575,3.888888888888889,Predominantly Post-Transcriptional,3,364.0
84,ENSG00000186481,ANKRD20A5P,18,14179097,14252140,1,73043,80373285,0.17686994503210862,6,11,8.21433949865148e-05,0.0001505962241419438,1.8333333333333333,Predominantly Post-Transcriptional,8,85.0
85,ENSG00000236532,LINC01695,21,28116094,28228667,-1,112573,46709983,0.6031340345381843,10,3,8.883124727954305e-05,2.6649374183862916e-05,0.3,Predominantly Transcriptional,3,44.5
86,ENSG00000125864,BFSP1,20,17493905,17569220,-1,75315,64444167,0.27204265825951324,15,4,0.00019916351324437363,5.3110270198499633e-05,0.26666666666666666,Predominantly Transcriptional,5,20.5
87,ENSG00000264745,TTC39C-AS1,18,23994213,24015339,-1,21126,80373285,0.29866610528610343,7,2,0.0003313452617627568,9.467007478935909e-05,0.2857142857142857,Predominantly Transcriptional,1,0.5
88,ENSG00000101745,ANKRD12,18,9136228,9285985,1,149757,80373285,0.1146040814432308,9,52,6.00973577195056e-05,0.00034722917793492125,5.777777777777778,Predominantly Post-Transcriptional,10,1018.0
89,ENSG00000088766,CRLS1,20,6006093,6040053,1,33960,64444167,0.09346187995571423,2,28,5.889281507656066e-05,0.0008244994110718492,14.0,Predominantly Post-Transcriptional,7,422.5
90,ENSG00000152242,C18orf25,18,46173553,46266992,1,93439,80373285,0.5750700932530006,12,62,0.00012842603195667763,0.0006635344984428343,5.166666666666667,Predominantly Post-Transcriptional,6,451.0
91,ENSG00000154839,SKA1,18,50375040,50394168,1,19128,80373285,0.6268824771813172,1,15,5.2279381012128815e-05,0.0007841907151819323,15.0,Predominantly Post-Transcriptional,5,754.5
92,ENSG00000156261,CCT8,21,29055805,29073797,-1,17992,46709983,0.6222395970471666,3,3,0.00016674077367718985,0.00016674077367718985,1.0,Neutral,11,10216.0
93,ENSG00000093072,ADA2,22,17178790,17258235,-1,79445,50818468,0.3388239192885547,16,2,0.0002013971930266222,2.5174649128327774e-05,0.125,Predominantly Transcriptional,10,0.0
94,ENSG00000125868,DSTN,20,17570075,17609919,1,39844,64444167,0.27294940440459103,5,22,0.00012548940869390622,0.0005521533982531875,4.4,Predominantly Post-Transcriptional,3,2043.5
95,ENSG00000132664,POLR3F,20,18467389,18484646,1,17257,64444167,0.28669805756043054,2,22,0.0001158949991307875,0.0012748449904386625,11.0,Predominantly Post-Transcriptional,6,170.5
96,ENSG00000125834,STK35,20,2101827,2177038,1,75211,64444167,0.03319823344136018,8,60,0.00010636741965935834,0.0007977556474451876,7.5,Predominantly Post-Transcriptional,2,819.0
97,ENSG00000154654,NCAM2,21,20998409,21543329,1,544920,46709983,0.45538164721661323,3,21,5.505395287381634e-06,3.8537767011671435e-05,7.0,Predominantly Post-Transcriptional,5,57.0
98,ENSG00000278558,TMEM191B,22,18527802,18530573,1,2771,50818468,0.3646152320058133,3,1,0.0010826416456153013,0.00036088054853843375,0.3333333333333333,Predominantly Transcriptional,7,10.0
99,ENSG00000263829,SINHCAFP1,18,26255698,26256355,-1,657,80373285,0.32667604042810994,2,1,0.0030441400304414,0.0015220700152207,0.5,Predominantly Transcriptional,1,18.5
100,ENSG00000125872,LRRN4,20,6040546,6054060,-1,13514,64444167,0.09383786433301249,3,3,0.00022199200828770165,0.00022199200828770165,1.0,Neutral,1,28.0
101,ENSG00000241832,CECR3,22,17256859,17266733,-1,9874,50818468,0.3396756470502023,5,1,0.0005063803929511849,0.00010127607859023699,0.2,Predominantly Transcriptional,1,0.5
102,ENSG00000215397,SCRT2,20,661596,675802,-1,14206,64444167,0.010376408465330927,4,1,0.0002815711671124877,7.039279177812192e-05,0.25,Predominantly Transcriptional,1,0.0
103,ENSG00000152234,ATP5F1A,18,46080248,46104334,-1,24086,80373285,0.5734777544553517,4,4,0.0001660715768496222,0.0001660715768496222,1.0,Neutral,20,9221.5
104,ENSG00000198646,NCOA6,20,34689097,34825651,-1,136554,64444167,0.539340884024461,14,13,0.00010252354379952254,9.520043352812807e-05,0.9285714285714286,Predominantly Transcriptional,7,294.5
105,ENSG00000223875,NBEAP3,22,15852990,15893942,1,40952,50818468,0.31235624812617335,5,1,0.0001220941590154327,2.441883180308654e-05,0.2,Predominantly Transcriptional,1,111.5
106,ENSG00000241973,PI4KA,22,20707691,20859417,-1,151726,50818468,0.40897639810786895,10,10,6.590828203472048e-05,6.590828203472048e-05,1.0,Neutral,18,2615.5
107,ENSG00000198862,LTN1,21,28928144,28992956,-1,64812,46709983,0.6200077186925973,14,2,0.00021600938097883108,3.085848299697587e-05,0.14285714285714285,Predominantly Transcriptional,7,1989.5
108,ENSG00000273492,APP-DT,21,26170871,26217381,1,46510,46709983,0.560782177976815,7,1,0.00015050526768436894,2.150075252633842e-05,0.14285714285714285,Predominantly Transcriptional,2,0.0
109,ENSG00000142192,APP,21,25880550,26171128,-1,290578,46709983,0.5571793721269391,59,4,0.00020304358898471322,1.3765667049811066e-05,0.06779661016949153,Predominantly Transcriptional,17,2229.5
110,ENSG00000178726,THBD,20,23045633,23049672,-1,4039,64444167,0.35763752676017985,4,1,0.0009903441445902451,0.0002475860361475613,0.25,Predominantly Transcriptional,1,5.0
111,ENSG00000101350,KIF3B,20,32277651,32335011,1,57360,64444167,0.5013072944212313,6,44,0.00010460251046025104,0.0007670850767085076,7.333333333333333,Predominantly Post-Transcriptional,1,1853.0
112,ENSG00000141425,RPRD1A,18,35984387,36067576,-1,83189,80373285,0.44823328423119696,6,5,7.21249203620671e-05,6.010410030172258e-05,0.8333333333333334,Predominantly Transcriptional,11,579.5
113,ENSG00000172296,SPTLC3,20,13008972,13169103,1,160131,64444167,0.20310662871939986,6,3,3.7469321992618546e-05,1.8734660996309273e-05,0.5,Predominantly Transcriptional,6,200.0
114,ENSG00000232775,BMS1P22,22,15805263,15820884,-1,15621,50818468,0.31116785141968467,6,9,0.0003840983291722681,0.0005761474937584022,1.5,Predominantly Post-Transcriptional,3,387.0
115,ENSG00000235914,MACROD2-AS1,20,14884250,14929528,-1,45278,64444167,0.23131479067764193,3,4,6.625734352224038e-05,8.834312469632051e-05,1.3333333333333333,Predominantly Post-Transcriptional,2,0.0
116,ENSG00000249263,PARP4P3,22,16653892,16659628,-1,5736,50818468,0.3277698178544068,1,1,0.00017433751743375174,0.00017433751743375174,1.0,Neutral,1,1.0
117,ENSG00000237438,CECR7,22,17036570,17060825,1,24255,50818468,0.33548231914429216,3,3,0.00012368583797155226,0.00012368583797155226,1.0,Neutral,4,67.0
118,ENSG00000125804,FAM182A,20,25985210,26086917,1,101707,64444167,0.40400962122762796,9,3,8.848948449959196e-05,2.9496494833197323e-05,0.3333333333333333,Predominantly Transcriptional,5,11.5
119,ENSG00000152214,RIT2,18,42743227,43115691,-1,372464,80373285,0.5341259723302338,21,3,5.638128785600756e-05,8.054469693715367e-06,0.14285714285714285,Predominantly Transcriptional,4,0.0
120,ENSG00000227367,SLC9B1P4,22,16428947,16476870,-1,47923,50818468,0.3237584513566997,1,2,2.0866807169834945e-05,4.173361433966989e-05,2.0,Predominantly Post-Transcriptional,1,1.0
121,ENSG00000177663,IL17RA,22,17084954,17115694,1,30740,50818468,0.33649821950555453,2,41,6.506180871828237e-05,0.0013337670787247886,20.5,Predominantly Post-Transcriptional,4,667.0
122,ENSG00000101624,CEP76,18,12661833,12702777,-1,40944,80373285,0.15779254263403567,7,4,0.00017096522078937084,9.769441187964049e-05,0.5714285714285714,Predominantly Transcriptional,12,395.5
123,ENSG00000131069,ACSS2,20,34872146,34927962,1,55816,64444167,0.5415548935561538,8,23,0.00014332807797047442,0.00041206822416511396,2.875,Predominantly Post-Transcriptional,24,323.5
124,ENSG00000223553,SMPD4P1,22,20602595,20656914,-1,54319,50818468,0.40594994914053684,3,2,5.522929361733463e-05,3.681952907822309e-05,0.6666666666666666,Predominantly Transcriptional,3,122.0
125,ENSG00000100181,TPTEP1,22,16601887,16698742,1,96855,50818468,0.3276429840427303,8,14,8.259769758917971e-05,0.00014454597078106447,1.75,Predominantly Post-Transcriptional,11,592.5
126,ENSG00000250261,CCDC74BP1,22,20587496,20592218,-1,4722,50818468,0.40516485069955277,1,6,0.00021177467174925878,0.0012706480304955528,6.0,Predominantly Post-Transcriptional,1,2.0
127,ENSG00000070371,CLTCL1,22,19179473,19291719,-1,112246,50818468,0.3785158576602506,14,4,0.00012472604814425459,3.563601375550131e-05,0.2857142857142857,Predominantly Transcriptional,12,918.0
128,ENSG00000101773,RBBP8,18,22798261,23026488,1,228227,80373285,0.2850745057888327,15,82,6.572403790962506e-05,0.0003592914072392837,5.466666666666667,Predominantly Post-Transcriptional,16,1296.0
129,ENSG00000224421,ATP5MFP1,21,36388878,36389112,-1,234,46709983,0.7790410670883781,1,1,0.004273504273504274,0.004273504273504274,1.0,Neutral,1,0.5
130,ENSG00000142188,TMEM50B,21,33432485,33479974,-1,47489,46709983,0.7162543711480264,11,16,0.00023163258859946513,0.0003369201288719493,1.4545454545454546,Predominantly Post-Transcriptional,10,186.5
131,ENSG00000205930,C21orf62-AS1,21,32772100,32955437,1,183337,46709983,0.7035705515028768,24,8,0.00013090647277963532,4.363549092654511e-05,0.3333333333333333,Predominantly Transcriptional,7,3.0
132,ENSG00000228677,TTC3-AS1,21,37187666,37193926,-1,6260,46709983,0.796206583933032,2,5,0.0003194888178913738,0.0007987220447284345,2.5,Predominantly Post-Transcriptional,1,4.0
133,ENSG00000187172,BAGE2,21,10413477,10516431,1,102954,46709983,0.22404105777559372,8,3,7.770460594051712e-05,2.9139227227693923e-05,0.375,Predominantly Transcriptional,3,1175.0
134,ENSG00000198054,DSCR8,21,38121451,38156511,1,35060,46709983,0.8165059918775821,2,3,5.7045065601825445e-05,8.556759840273816e-05,1.5,Predominantly Post-Transcriptional,8,0.0
135,ENSG00000260930,LINC01416,18,55881688,55998219,-1,116531,80373285,0.696001830707803,3,36,2.57442225673855e-05,0.00030893067080862605,12.0,Predominantly Post-Transcriptional,1,0.5
136,ENSG00000168234,TTC39C,18,23992773,24135610,1,142837,80373285,0.2994053496755794,25,62,0.00017502467847966562,0.00043406120262957075,2.48,Predominantly Post-Transcriptional,10,233.0
137,ENSG00000237138,HUNK-AS1,21,32020966,32021782,-1,816,46709983,0.6855359806061159,1,1,0.0012254901960784314,0.0012254901960784314,1.0,Neutral,1,1.0
138,ENSG00000142149,HUNK,21,31873020,32044633,1,171613,46709983,0.6841969199603434,28,35,0.00016315780273056237,0.00020394725341320297,1.25,Predominantly Post-Transcriptional,4,344.5
139,ENSG00000187323,DCC,18,52340197,53535903,1,1195706,80373285,0.6586523121457584,12,8,1.0035911837859809e-05,6.690607891906539e-06,0.6666666666666666,Predominantly Transcriptional,18,11.0
140,ENSG00000159256,MORC3,21,36320189,36386148,1,65959,46709983,0.7782740683078391,12,49,0.00018193119968465258,0.0007428857320456647,4.083333333333333,Predominantly Post-Transcriptional,12,333.5
141,ENSG00000099917,MED15,22,20495913,20587632,1,91719,50818468,0.4042186494091085,17,104,0.0001853487281806387,0.001133898101810966,6.117647058823529,Predominantly Post-Transcriptional,31,1224.5
142,ENSG00000159086,PAXBP1,21,32733899,32771792,-1,37893,46709983,0.7011958343037719,7,2,0.00018473068904547015,5.278019687013432e-05,0.2857142857142857,Predominantly Transcriptional,9,449.0
